               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.03504,            0.015256,            0.036021,             0.34707,             0.27705,             0.24959,             0.17035,            0.035181,           0.0072104,            0.042171,            0.070029,           0.0033301,           0.0033301
                   1,            0.038486,            0.013184,            0.030702,             0.40006,             0.35265,             0.31728,             0.21395,            0.036844,           0.0072221,            0.037081,            0.040028,           0.0066618,           0.0066618
                   2,            0.042559,             0.01437,            0.031644,             0.43281,             0.31891,             0.29355,             0.17816,            0.039401,           0.0072518,            0.039271,             0.01002,            0.009987,            0.009987
                   3,            0.043112,            0.015136,            0.034154,             0.40253,             0.30233,             0.29173,             0.18785,            0.038506,              0.0077,            0.038487,            0.009978,            0.009978,            0.009978
                   4,            0.042566,            0.014421,            0.033052,             0.49026,             0.28663,             0.27975,             0.18702,            0.037418,           0.0068593,            0.039612,            0.009978,            0.009978,            0.009978
                   5,            0.042474,            0.013874,            0.030743,             0.41074,             0.36213,             0.32694,             0.22035,             0.03678,           0.0067768,            0.035617,            0.009961,            0.009961,            0.009961
                   6,            0.042097,            0.013683,             0.02889,             0.51711,             0.32894,             0.34052,             0.22843,            0.036243,           0.0068227,            0.035943,           0.0099391,           0.0099391,           0.0099391
                   7,            0.041138,            0.013194,            0.028397,             0.41695,             0.40551,             0.36131,             0.25221,            0.036351,           0.0068175,            0.035523,           0.0099123,           0.0099123,           0.0099123
                   8,            0.040861,            0.013552,            0.028398,             0.46201,             0.32245,             0.30999,             0.20603,            0.035249,           0.0067722,            0.035599,           0.0098808,           0.0098808,           0.0098808
                   9,            0.041133,            0.013217,             0.02651,              0.4585,             0.39167,              0.3699,              0.2529,            0.036088,           0.0069607,            0.034177,           0.0098445,           0.0098445,           0.0098445
                  10,             0.04041,            0.013145,            0.025674,             0.53352,             0.36837,             0.37212,             0.26068,            0.034915,           0.0069478,            0.034048,           0.0098035,           0.0098035,           0.0098035
                  11,            0.040317,            0.013414,            0.025117,             0.54749,             0.37827,             0.41394,             0.28942,            0.035239,           0.0067116,            0.031877,           0.0097577,           0.0097577,           0.0097577
                  12,            0.040051,            0.012727,            0.023467,             0.47195,             0.35906,             0.37072,             0.25774,            0.034875,           0.0067536,            0.032572,           0.0097074,           0.0097074,           0.0097074
                  13,            0.040448,            0.012514,            0.022945,             0.59034,             0.34245,             0.37766,             0.26164,            0.034859,           0.0067779,            0.032015,           0.0096524,           0.0096524,           0.0096524
                  14,            0.039222,            0.012516,            0.022925,             0.46461,             0.37451,             0.37066,             0.26024,             0.03479,           0.0066701,            0.035427,           0.0095929,           0.0095929,           0.0095929
                  15,            0.039486,            0.012796,            0.022875,             0.57913,             0.33925,             0.39447,             0.27633,            0.034076,           0.0066397,            0.031497,           0.0095289,           0.0095289,           0.0095289
                  16,            0.039269,            0.012482,            0.022309,             0.50085,             0.42496,             0.42572,             0.30646,            0.033673,           0.0065717,            0.029534,           0.0094605,           0.0094605,           0.0094605
                  17,            0.038996,            0.012577,            0.020985,             0.46547,             0.42203,             0.42743,             0.30668,            0.034254,           0.0068048,            0.030104,           0.0093877,           0.0093877,           0.0093877
                  18,            0.038797,            0.012385,            0.020756,             0.56925,             0.41087,             0.42339,             0.30518,            0.034043,           0.0066704,            0.029754,           0.0093107,           0.0093107,           0.0093107
                  19,            0.038248,             0.01216,            0.020104,             0.62178,             0.37884,             0.43769,             0.30967,             0.03385,           0.0066441,            0.028763,           0.0092294,           0.0092294,           0.0092294
                  20,            0.038335,            0.012102,            0.019924,             0.60377,             0.40528,             0.43355,             0.31694,            0.033441,           0.0065345,            0.030405,            0.009144,            0.009144,            0.009144
                  21,            0.038432,            0.012178,            0.020155,             0.47787,              0.4443,             0.42555,             0.30409,            0.033104,           0.0066957,            0.028653,           0.0090546,           0.0090546,           0.0090546
                  22,            0.038148,            0.012173,            0.019253,             0.59264,             0.39302,             0.43906,             0.32489,            0.033114,           0.0065448,            0.028855,           0.0089613,           0.0089613,           0.0089613
                  23,            0.037272,            0.012045,            0.018668,             0.52999,             0.43713,             0.45833,             0.33657,            0.033258,           0.0066261,            0.028178,            0.008864,            0.008864,            0.008864
                  24,            0.037084,            0.011893,            0.018128,             0.59491,              0.4235,             0.45981,             0.33632,            0.032803,           0.0064855,            0.027811,            0.008763,            0.008763,            0.008763
                  25,            0.037146,            0.011415,             0.01784,             0.58151,             0.42215,             0.45501,             0.33882,            0.032943,           0.0064658,            0.029986,           0.0086584,           0.0086584,           0.0086584
                  26,            0.036874,            0.011543,            0.017387,              0.5919,              0.4443,             0.46188,             0.34207,            0.032637,           0.0065865,            0.028021,           0.0085502,           0.0085502,           0.0085502
                  27,            0.037057,             0.01194,            0.017389,             0.64039,             0.42319,             0.46323,             0.34304,            0.032366,           0.0064387,              0.0273,           0.0084385,           0.0084385,           0.0084385
                  28,            0.036537,            0.011619,            0.016614,             0.61266,             0.43513,             0.46299,             0.34231,            0.032103,           0.0065029,            0.026827,           0.0083235,           0.0083235,           0.0083235
                  29,            0.036159,            0.011239,            0.016635,             0.55717,             0.47698,             0.46912,             0.34656,            0.032293,           0.0067644,            0.027816,           0.0082052,           0.0082052,           0.0082052
                  30,            0.035998,            0.011974,            0.016383,             0.55437,             0.43268,             0.45083,             0.33383,             0.03203,           0.0064821,            0.027281,           0.0080839,           0.0080839,           0.0080839
                  31,              0.0356,             0.01138,            0.016332,             0.56711,              0.4529,             0.48656,             0.36282,            0.032004,           0.0064673,            0.026368,           0.0079595,           0.0079595,           0.0079595
                  32,            0.036061,            0.011659,             0.01546,             0.58946,              0.4546,             0.48971,             0.36934,             0.03179,            0.006416,            0.026702,           0.0078323,           0.0078323,           0.0078323
