               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12999,            0.051773,             0.07104,                   0,                   0,                   0,                   0,             0.10516,           0.0095892,            0.070353,            0.070009,           0.0033323,           0.0033323
                   1,             0.11422,            0.034647,            0.069423,                   0,                   0,                   0,                   0,              0.0973,           0.0092133,            0.066303,            0.040009,           0.0066656,           0.0066656
                   2,             0.10827,            0.030085,            0.065004,           0.0011673,            0.089219,           0.0020831,          0.00094719,            0.082489,            0.011295,            0.057186,            0.010009,           0.0099987,           0.0099987
                   3,            0.089088,            0.026604,            0.062859,             0.10481,             0.29596,           0.0085931,           0.0046443,            0.053007,           0.0082359,            0.056025,           0.0099992,           0.0099992,           0.0099992
                   4,            0.075339,            0.022946,            0.062209,             0.68782,            0.084957,            0.012955,           0.0075916,            0.045811,           0.0062298,            0.055627,           0.0099992,           0.0099992,           0.0099992
                   5,            0.067972,            0.020652,            0.061835,             0.91465,             0.02418,            0.015674,           0.0094523,            0.040856,           0.0061958,            0.055087,           0.0099986,           0.0099986,           0.0099986
                   6,            0.062627,            0.018847,            0.060971,             0.91629,            0.033309,             0.01864,            0.011833,            0.039335,           0.0052631,            0.054403,           0.0099978,           0.0099978,           0.0099978
                   7,            0.060146,            0.018113,              0.0607,             0.90019,            0.032277,            0.020454,            0.012844,            0.037647,           0.0051459,            0.053763,           0.0099968,           0.0099968,           0.0099968
                   8,            0.058183,            0.017199,            0.060139,             0.89642,            0.042159,            0.022944,            0.015211,            0.035944,           0.0053044,            0.053451,           0.0099956,           0.0099956,           0.0099956
                   9,            0.056408,            0.017087,            0.059586,             0.83823,            0.052783,             0.02549,            0.016985,            0.035529,            0.005065,            0.051979,           0.0099943,           0.0099943,           0.0099943
                  10,            0.055868,            0.016672,            0.058798,              0.8536,            0.062874,            0.034149,            0.023022,            0.034948,           0.0051134,            0.050504,           0.0099928,           0.0099928,           0.0099928
                  11,             0.05487,            0.016169,            0.058319,             0.83952,            0.061666,             0.03673,            0.025254,            0.034293,           0.0051102,            0.049526,           0.0099911,           0.0099911,           0.0099911
                  12,            0.054546,            0.016069,            0.056991,             0.85622,            0.058788,            0.039397,            0.027394,            0.033849,           0.0049312,            0.048059,           0.0099893,           0.0099893,           0.0099893
                  13,            0.053645,            0.015675,            0.056078,             0.91315,            0.053524,            0.050483,            0.035603,            0.033899,           0.0050168,            0.046555,           0.0099872,           0.0099872,           0.0099872
                  14,            0.053129,            0.015379,            0.055215,             0.73394,             0.09503,            0.051759,            0.035603,            0.033425,           0.0050076,            0.045098,            0.009985,            0.009985,            0.009985
                  15,            0.052377,            0.015354,            0.054308,             0.73254,             0.10062,            0.057669,            0.040565,            0.032983,           0.0049765,            0.043619,           0.0099826,           0.0099826,           0.0099826
                  16,            0.052558,            0.015296,            0.053239,              0.7003,             0.10567,            0.062771,            0.044284,             0.03281,           0.0049826,            0.042435,             0.00998,             0.00998,             0.00998
                  17,            0.052041,             0.01527,            0.052507,             0.69139,             0.10428,            0.066862,            0.046896,            0.032717,           0.0049448,            0.041088,           0.0099773,           0.0099773,           0.0099773
                  18,            0.051737,            0.014894,            0.051731,             0.68028,             0.12099,             0.07125,            0.050416,            0.032548,           0.0049121,            0.039921,           0.0099744,           0.0099744,           0.0099744
                  19,            0.051285,             0.01467,             0.05085,             0.63588,             0.12521,             0.07731,            0.054427,            0.032295,           0.0049857,            0.038875,           0.0099713,           0.0099713,           0.0099713
                  20,            0.051488,            0.014763,            0.050191,             0.62993,             0.13628,            0.086154,            0.061995,            0.031949,           0.0048534,             0.03791,            0.009968,            0.009968,            0.009968
                  21,            0.050631,            0.014705,            0.049684,             0.66159,             0.13549,            0.082847,             0.05887,            0.031879,           0.0048413,            0.037292,           0.0099645,           0.0099645,           0.0099645
                  22,            0.050711,            0.014436,            0.048856,             0.63991,             0.14395,             0.08337,            0.060048,            0.031885,           0.0047611,            0.036736,           0.0099609,           0.0099609,           0.0099609
                  23,            0.050522,            0.014663,            0.048366,             0.60532,             0.14958,             0.08991,            0.064765,            0.031972,           0.0047903,            0.036145,           0.0099571,           0.0099571,           0.0099571
                  24,             0.04966,            0.014384,             0.04781,             0.62546,             0.15695,              0.1009,            0.072842,            0.031501,           0.0046898,            0.035588,           0.0099531,           0.0099531,           0.0099531
