               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.25199,             0.13373,            0.077869,          7.1429e-05,          0.00032468,          3.7387e-05,          7.4774e-06,             0.21949,            0.036559,            0.076794,             0.07335,           0.0066626,           0.0066626
                   1,             0.20819,            0.062137,            0.074905,          0.00046143,            0.012461,          0.00026891,          7.8155e-05,             0.19776,            0.030248,            0.071642,            0.046659,            0.013305,            0.013305
                   2,             0.16802,            0.047166,            0.070589,             0.19695,             0.12708,            0.035145,            0.015631,              0.1281,            0.031257,            0.067999,            0.019944,            0.019924,            0.019924
                   3,              0.1285,            0.039743,            0.068277,             0.29576,              0.1392,             0.05877,            0.030729,              0.1104,            0.025642,             0.06609,            0.019892,            0.019892,            0.019892
                   4,             0.11208,             0.03468,            0.065735,              0.2386,             0.22893,               0.101,            0.054423,            0.094376,            0.021766,            0.062016,            0.019892,            0.019892,            0.019892
                   5,             0.10132,            0.030909,            0.062257,             0.30821,             0.22533,             0.14384,            0.080879,            0.086514,            0.019832,            0.059236,            0.019856,            0.019856,            0.019856
                   6,            0.095298,            0.029018,            0.059603,             0.28535,             0.30018,             0.18681,             0.11073,            0.080201,            0.019177,            0.055681,             0.01982,             0.01982,             0.01982
                   7,            0.090144,            0.027202,            0.056278,             0.30563,             0.35089,             0.21832,             0.13469,             0.07954,            0.017839,            0.052071,            0.019784,            0.019784,            0.019784
                   8,            0.086358,            0.026061,            0.053199,             0.37661,             0.37087,             0.25031,             0.15683,             0.07732,            0.017559,            0.048534,            0.019748,            0.019748,            0.019748
                   9,            0.085388,            0.025047,            0.050684,             0.35032,              0.3828,              0.2726,             0.16738,            0.076763,            0.017018,             0.04684,            0.019712,            0.019712,            0.019712
                  10,            0.084188,            0.024733,            0.049518,             0.30711,             0.44349,             0.30426,             0.19202,            0.073754,            0.016791,            0.044295,            0.019676,            0.019676,            0.019676
